Document,Path,Term,Definition
"הפעלת אמצעי חירום ואמצעים זמניים לפי סעיפים 11 ו 12 לחוק הנוער (טיפול והשגחה), תשך-1960 - 3.21 חדש",,קטין," ""מי שלא מלאו לו שמונה עשרה שנה"" (סעיף 1 בחוק הנוער)."
"הפעלת אמצעי חירום ואמצעים זמניים לפי סעיפים 11 ו 12 לחוק הנוער (טיפול והשגחה), תשך-1960 - 3.21 חדש",,קטין נזקק," לפי סעיף 2 לחוק הנוער, ""קטין הוא נזקק כשנתקיים בו אחד מאלה: לא נמצא אחראי עליו. האחראי על הקטין אינו מסוגל לטפל בו או להשגיח עליו או שהוא מזניח את הטיפול או ההשגחה."
צוות חירום וחוסן יישובי - 7.13,,גורם מפעיל," תאגיד או עוסק מורשה אשר המשרד או רשות מקומית התקשרו עמו, לאחר שזכה במכרז להספקת שירותי רווחה, על פי חוזה מפורט שנחתם בינו לבין המשרד או בינו לבין רשות מקומית, בו התחייב על היקף השירותים, איכותם, המתקנים והתשומות שיעמיד לצורך ביצוע התחייבויותיו."
צוות חירום וחוסן יישובי - 7.13,,"מחלקה לשירותים חברתיים (מש""ח)"," המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים למקבלי שירות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוח חוק שירותי הסעד התשי""ח - 1958."
צוות חירום וחוסן יישובי - 7.13,,משרד, משרד הרווחה והביטחון החברתי.
צוות חירום וחוסן יישובי - 7.13,,"צח""י (צוות חירום וחוסן יישובי)"," צוות המורכב מבעלי תפקידים הגרים ביישוב ומפעילים קהילתיים, שעברו הכשרה בסיסית במטרה לפעול במצבי משבר וחירום."
צוות חירום וחוסן יישובי - 7.13,,מצב חירום או משבר (להוראה זו)," אירוע או תקופה בעלת פוטנציאל השפעה במדינה או בקהילה אשר תוצאותיהם יכולות להביא לפגיעה במרקם החיים הקהילתיים (לדוגמא: מלחמה, רעידת אדמה, מגיפה, מצבי מזג אויר קיצוניים, שריפה וכן אירוע המזוהה כמשבר על ידי יושב ראש הצח""י או מנהל המחלקה לשירותים חברתיים או מי מטעמם. הגדרות נוספות בסעיף ""מושגים ומונחים"" בתיק צח""י עמוד 15. אוכלוסיית היעד"
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,אדם עם מוגבלות," אדם עם אחת או יותר מסוגי המוגבלויות הקבועות המוכרות על ידי מינהל מוגבלויות לצורך זכאות לקבלת שרותי רווחה, שתפקודו מונמך באופן משמעותי בתחום אחד או יותר מתחומי החיים המרכזיים.סוגי המוגבלויות המוכרות הן: עיכוב התפתחותי, מוגבלות חושית בראייה או שמיעה, מוגבלות קוגניטיבית, מוגבלות שכלית התפתחותית, מוגבלות מוטורית, אוטיזם. כל אלה על פי התנאים כפי שקבע מינהל מוגבלויות להכרה."
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,גורם מפעיל," תאגיד או עוסק מורשה אשר המשרד או רשות מקומית התקשרו עמו, לאחר שזכה במכרז להספקת שירותי רווחה, על פי חוזה מפורט שנחתם בינו לבין המשרד או בינו לבין רשות מקומית, בו התחייב על היקף השירותים, איכותם, המתקנים והתשומות שיעמיד לצורך ביצוע התחייבויותיו."
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,המשרד, משרד הרווחה והביטחון החברתי.
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,"מחלקה לשירותים חברתיים (מש""ח)"," המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים למקבלי השירות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוח חוק שירותי הסעד התשי""ח – 1958."
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,"עו""ס"," עובד סוציאלי כהגדרתו בחוק העובדים הסוציאליים, התשנ""ו - 1996."
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,תוכנית, סל מענים או דרכי פעולה הניתנים למקבלי שירות בהתאם למאפייניהם וצרכיהם שמטרתם לקדם אוכלוסיות מסוימות או נושא מסוים ומונחים על ידי תפיסה מקצועית. אוכלוסיית יעד
1.4 -שירותי תעסוקה לאנשים עם מוגבלות-תהליכי עבודה,,אנשים בגילאי 18,"67 העונים על התנאים הבאים במצטבר: אנשים עם מוגבלות, המוכרים על ידי המוסד לביטוח לאומי כאנשים עם נכות של 40% ומעלה. שוהים בביתם או במסגרת חוץ ביתית. אינם תחת אחריותם הטיפולית והשיקומית של האגף לבריאות הנפש במשרד הבריאות או של אגף שיקום נכים במשרד הביטחון."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,ארגון מגייס," יחידה ממשלתית או ישות ציבורית או חברה או מלכ""ר הרשום כחוק בישראל או בחוץ לארץ, המגייס והמבצע הליכי מיון מתנדבים, טרם הגעתם לארץ, המלווה את המתנדבים בזמן ההתנדבות בארץ ואשר קיבל אישור ממונה על שיתופי פעולה בינלאומיים במשרד."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,מתנדב מחוץ לארץ,
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,בעל אזרחות זרה העומד בקריטריונים האלה,"מעל גיל 18 ביום תחילת ההתנדבות, ללא עבר פלילי, במצב בריאותי המאפשר לפעול למען הזולת בארץ, התקבל כמתנדב במסגרת קולטת ויפעל בה ללא שכר."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,ממונה על מתנדבי חוץ לארץ, עובד סוציאלי באגף בכיר משאבי קהילה במטה המסדיר את תהליכי הפעלת מתנדבי חוץ לארץ במסגרות קולטות ומפקח עליהן.
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,מסגרת קולטת," מסגרת ממשלתית או מחלקה לשירותים חברתיים ברשות מקומית או מלכ""ר או חברה שעיקר עיסוקה מתן שירותי רווחה, ואשר נמצאת תחת פיקוח משרד הרווחה מתוקף חוקים ותקנות שונות. מסגרת תיקרא ""מסגרת קולטת"" רק לאחר קבלת אישור מהממונה על מתנדבי חוץ לארץ, ובתנאי שעמדה בתנאי הסף של התוכנית."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,"מחלקה לשירותים חברתיים (מש""ח)"," יחידה בתוך רשות מקומית הפועלת מכוח חוק שירותי הסעד (התשי""ח - 1958), האחראית על מתן שירותי רווחה ושירותים חברתיים למקבלי שירות המתגוררים באותה רשות."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,משרד, משרד הרווחה והביטחון החברתי.
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,רכז מתנדבים," עובד במסגרת הקולטת שקיבל מינוי ממנהל המסגרת לצורך ריכוז וליווי מתנדבי חוץ לארץ ומשמש באופן קבוע בתפקיד זה. עובד זה, ייתן מענה לצרכיו של המתנדב ויהיה אחראי לשלומו ולרווחתו."
תוכנית הפעלת מתנדבים מחוץ לארץ - תהליכי עבודה - 7.17 חדש,,Apostilleאפוסטיל," אישור הניתן על ידי רשות מוסמכת של מדינה, וכן תוארו של בעל התפקיד המאמת את נכונות החתימה על גבי תעודות ציבוריות, ומאשר כי התעודה רשמית, מקורית, והונפקה על ידי הרשות המוסמכת לכך. אוכלוסיית יעד המסגרות הקולטות."
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,ארגון מגייס," יחידה ממשלתית או ישות ציבורית או חברה או מלכ""ר הרשום כחוק בישראל או בחוץ לארץ, המגייס והמבצע הליכי מיון מתנדבים, טרם הגעתם לארץ, המלווה את המתנדבים בזמן ההתנדבות בארץ ואשר קיבל אישור ממונה על שיתופי פעולה בינלאומיים במשרד."
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,מתנדב מחוץ לארץ,
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,בעל אזרחות זרה העומד בקריטריונים האלה,"מעל גיל 18 ביום תחילת ההתנדבות, ללא עבר פלילי, במצב בריאותי המאפשר לפעול למען הזולת בארץ, התקבל כמתנדב במסגרת קולטת ופועל בה ללא שכר."
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,ממונה על מתנדבי חוץ לארץ, עובד סוציאלי באגף בכיר משאבי קהילה במטה המסדיר את תהליכי הפעלת מתנדבי חוץ לארץ במסגרות קולטות ומפקח עליהן.
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,מסגרת קולטת," מסגרת ממשלתית או מחלקה לשירותים חברתיים ברשות מקומית או מלכ""ר או חברה שעיקר עיסוקה מתן שירותי רווחה, ואשר ונמצאת תחת פיקוח משרד הרווחה מתוקף חוקים ותקנות שונות. מסגרת תיקרא ""מסגרת קולטת"" רק לאחר קבלת אישור מהממונה על מתנדבי חוץ לארץ, ובתנאי שעמדה בתנאי הסף של התוכנית."
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,"מחלקה לשירותים חברתיים (מש""ח)"," יחידה בתוך רשות מקומית הפועלת מכוח חוק שירותי הסעד (התשי""ח - 1958), האחראית על מתן שירותי רווחה ושירותים חברתיים למקבלי שירות המתגוררים באותה רשות."
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,משרד, משרד הרווחה והביטחון החברתי.
תוכנית הפעלת מתנדבים מחוץ לארץ - הקמה והפעלה - 7.16 חדש,,רכז מתנדבים, עובד במסגרת הקולטת שקיבל מינוי ממנהל המסגרת לצורך ריכוז וליווי מתנדבי חוץ לארץ והמשמש באופן קבוע בתפקיד זה. עובד זה ייתן מענה לצרכיו של המתנדב ויהיה אחראי לשלומו ולרווחתו. אוכלוסיית יעד המסגרות הקולטות.
מרכז חירום 18.10.15,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללויות בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים החברתיים, שבה שתי יחידות טיפול כדלקמן:"
מרכז חירום 18.10.15,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמערכת להגנה, אבחון וקביעת תכנית להמשך טיפול לילדים."
מרכז חירום 18.10.15,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול בילדים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס לחוק הנוער."
4.8.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים החברתיים, שבה שתי יחידות טיפול כדלקמן:"
4.8.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, אבחון וקביעת תכנית להמשך טיפול לילדים."
4.8.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול בילדים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס לחוק הנוער, כאשר הקטין נמצא בקהילה"
5.8.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים החברתיים, שבה שתי יחידות טיפול כדלקמן:"
5.8.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, אבחון וקביעת תכנית להמשך טיפול לקטיןים עד 15 קטיןים."
5.8.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול בקטיןים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס לחוק הנוער, כאשר הקטין נמצא בקהילה"
21.8.2016,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים החברתיים, שבה שתי יחידות טיפול כדלקמן:"
21.8.2016,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, אבחון וקביעת תכנית להמשך טיפול לקטינים עד 15 קטינים."
21.8.2016,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול בקטינים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס לחוק הנוער, כאשר הקטין נמצא בקהילה"
12.9.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות 		בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. 			המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים 				החברתיים, שבה שתי יחידות טיפול כדלקמן:"
12.9.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, 		אבחון וקביעת תכנית להמשך טיפול לקטינים עד 15 קטינים."
12.9.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול 		בקטינים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס 			לחוק הנוער, כאשר הקטין נמצא בקהילה. אוכלוסיית היעד"
12.9.16,8.40/,קטינים בגילאי 2,15 בסיכון וסכנה. הבסיס הנוהלי והחוקי
30.10.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות 		בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. 			המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים 				החברתיים, שבה שתי יחידות טיפול כדלקמן:"
30.10.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, 		אבחון וקביעת תכנית להמשך טיפול לקטינים עד 15 קטינים."
30.10.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול 		בקטינים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס 			לחוק הנוער, כאשר הקטין נמצא בקהילה. אוכלוסיית היעד"
30.10.16,8.40/,קטינים בגילאי 2,15 בסיכון וסכנה. הבסיס הנוהלי והחוקי
24.11.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות 		בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. 			המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד הרווחה והשירותים 				החברתיים, שבה שתי יחידות טיפול כדלקמן:"
24.11.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, 		אבחון וקביעת תכנית להמשך טיפול לקטינים עד 15 קטינים."
24.11.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול 		בקטינים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס 			לחוק הנוער, כאשר הקטין נמצא בקהילה. אוכלוסיית היעד"
24.11.16,8.40/,קטינים בגילאי 2,15 בסיכון וסכנה. הבסיס הנוהלי והחוקי
9.1.16,8.40/,מרכז החירום,"מסגרת קצרת טווח לקטינים הנמצאים במצבי סכנה כתוצאה מהתעללות 		בהם במשפחתם ומהזנחה קשה ומצטברת, בגינם, חייבים בהגנה מיידית מחוץ לבית. 			המסגרת מופעלת ע""י ארגון מפעיל שזכה במכרז של משרד העבודה הרווחה והשירותים 		החברתיים, שבה שתי יחידות טיפול כדלקמן:"
9.1.16,8.40/,יחידת פנימייה (אינטרנית),"יחידה בתוך מרכז החירום המשמשת כמסגרת להגנה, 		אבחון וקביעת תכנית להמשך טיפול לקטינים עד 15 קטינים."
9.1.16,8.40/,יחידה טיפולית ייעוצית (אקסטרנית),"יחידה בתוך מרכז החירום לאבחון וטיפול 		בקטינים עם בני משפחותיהם ע""פ תכנית הטיפול המומלצת ובתיאום עם עו""ס 			לחוק הנוער, כאשר הקטין נמצא בקהילה. אוכלוסיית היעד"
9.1.16,8.40/,קטינים בגילאי 2,15 בסיכון וסכנה. הבסיס הנוהלי והחוקי
קובץ של תעס 2.5 לאחר הערות משרד הפנים והטמעה שלהם הערות נמרוד - 040422,2.5/,"מחלקה לשירותים חברתיים (מש""ח)","המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים למקבלי שירות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוח חוק שירותי הסעד התשי""ח-1958 ."
קובץ של תעס 2.5 לאחר הערות משרד הפנים והטמעה שלהם הערות נמרוד - 040422,2.5/,משרד,משרד הרווחה והביטחון החברתי.
קובץ של תעס 2.5 לאחר הערות משרד הפנים והטמעה שלהם הערות נמרוד - 040422,2.5/,עובד סוציאלי,מי שכשיר להיות עובד סוציאלי לפי חוק העובדים הסוציאליים והוא רשום בפנקס העובדים הסוציאליים. אוכלוסיית היעד רשויות מקומיות ומנהלי מחלקות לשירותים חברתיים. סגן מנהל היחידה לשירותים חברתיים (אמרכלות ולוגיסטיקה)
27.2.2017,8.14/,"פנימייה– כהגדרתו בחוק הפיקוח על המעונות, התשכ""ה",1965.
27.2.2017,8.14/,פנימיית יום,"מסגרת שהייה טיפולית רב תחומית ואינטנסיבית בתוך מבנה הפנימיה האינטרנית המיועדת לילדים בגיל החביון (6-12) והוריהם. פנימיות היום נותנות מענה לרשות אחת או למספר רשויות הממוקמות באותו אזור גאוגרפי. פנימיית יום מופעלת ע""י גוף שזכה במכרז של משרד העבודה הרווחה והשירותים החברתיים להפעלת פנימייה ופנימיית יום."
27.2.2017,8.14/,ועדת תכנון טיפול והערכה,"כהגדרתה בהוראת התע""ס (ראה בהוראוהת 8.9 בתע""ס), להלן ""ועדה""."
27.2.2017,8.14/,"עו""ס המשפחה","עו""ס המשפחה הינו מנהל ההתערבות, ינהל את הטיפול בכל משפחה וילווה אותם עפ""י שלבי הטיפול המפורטים בהוראה זו."
27.2.2017,8.14/,רפרנט מהמחלקה לשירותים חברתיים,מדריך ראש צוות או עובד סוציאלי עם ניסיון בטיפול בילדים ומשפחות בסיכון. אוכלוסיית יעד
27.2.2017,8.14/,ילדים במצבי סיכון בגילאי 6,"12 והוריהם שבבתיהם יש פגיעה משמעותית בשלומם ובהתפתחותם התקינה מסיבות שמקורם בילד, בהורה או ביחסי הגומלין ביניהם (אולם לא נשקפת להם סכנה בחיק משפחתם) ושבוועדת תכנון טיפול והערכה נידונו דאגות ביחס להמשך גדילתם בביתם כדלקמן:. משתתפי הועדה סברו שתכנית התערבות אינטנסיבית עבור הילד והוריו תוכל למנוע מניעת את הוצאת הילד לטיפול חוץ ביתי. . שאובחנו אצלם ליקויי למידה או פער לימודי ניכר ואינם פנויים ללמידה על רקע טראומה אישית או משפחתית."
27.2.2017,8.14/,ילדים בגילאי 6,"12 ששהו בפנימייה מלאה, להם צורך בהכנה הדרגתית לקראת חזרתם המלאה הביתה פרופיל הילדים המופנים לפנימיית היום מותאם לפנימייה שיקומית (לפי נוהל 0.9, סיווג אוכלוסיות, מסגרות חוץ ביתיות שירות ילד ונוער, ראה נספח א'). הורי הילדים המביעים נכונותם להשתתף בתכנית הטיפול האינטנסיבית שמציעה להם פנימיית היום. קליטת ילדים שלא בטווח גילאים זה תתאפשר במקרים ייחודיים שיבחנו ויאושרו על ידי מפקח הקהילה המחוזי בשרות לילד ולנוער."
27.2.2017,8.14/,ילדים בגילאי 6,"12 ששהו בפנימייה מלאה, להם צורך בהכנה הדרגתית לקראת חזרתם המלאה הביתה. הורי הילדים המביעים נכונותם להשתתף בתכנית הטיפול האינטנסיבית שמציעה להם פנימיית היום. מטרות צמצום ומניעה של הצורך בהוצאה לטיפול במסגרת חוץ ביתית"
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,"פנימייה– כהגדרתו בחוק הפיקוח על המעונות, התשכ""ה",1965.
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,פנימיית יום,"מסגרת שהייה טיפולית רב תחומית ואינטנסיבית בתוך מבנה הפנימיה האינטרנית המיועדת לילדים בגיל החביון (6-12) והוריהם. פנימיות היום נותנות מענה לרשות אחת או למספר רשויות הממוקמות באותו אזור גאוגרפי. פנימיית יום מופעלת ע""י גוף שזכה במכרז של משרד העבודה הרווחה והשירותים החברתיים להפעלת פנימייה ופנימיית יום."
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,ועדת תכנון טיפול והערכה,"כהגדרתה בהוראוה 8.9 בתע""ס, להלן ""ועדה""."
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,"עו""ס המשפחה","כהגדרתו בהוראה 2.4 בתע""ס, עו""ס המשפחה הינו מנהל ההתערבות, ינהל את הטיפול בכל משפחה וילווה אותם עפ""י שלבי הטיפול המפורטים בהוראה זו."
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,רפרנט לפנימיית היום מהמחלקה לשירותים חברתיים,מדריך ראש צוות או עובד סוציאלי עם ניסיון בטיפול בילדים ומשפחות בסיכון. אוכלוסיית יעד
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,ילדים במצבי סיכון בגילאי 6,"12 שחלים עליהם הקריטריונים להשמה חוץ ביתית (תקנות הפיקוח על המעונות, תיקון התשנ""ד, 1993, סעיף 1, ג'-ד' וסעיף 2 - ראה נספח א') ובבתיהם יש פגיעה בשלומם ובהתפתחותם התקינה, מסיבות שמקורן בילד, בהורים או ביחסי הגומלין ביניהם (אולם לא נשקפת להם סכנה בחיק משפחתם). פרופיל הילדים המופנים לפנימיית היום מותאם לפנימייה שיקומית (ראה נוהל 0.9, סיווג אוכלוסיות, מסגרות חוץ ביתיות שירות ילד ונוער, נספח ב')."
6.2.17 פנימיית יום תעס לרחל להחתמה,8.14/,ילדים בגילאי 6,"12 ששהו בפנימייה מלאה, להם צורך בהכנה הדרגתית לחזרתם המלאה הביתה. הורי הילדים המביעים נכונותם להשתתף בתכנית הטיפול האינטנסיבית שמציעה להם פנימיית היום. קליטת ילדים שלא בטווח גילאים זה תתאפשר במקרים ייחודיים שיבחנו ויאושרו על ידי מפקח הקהילה המחוזי בשרות לילד ולנוער. מטרות"
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,המשרד,משרד הרווחה והביטחון החברתי.
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,"מחלקה לשירותים חברתיים (מש""ח)","המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים למקבלי שירות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוחחוק שירותי הסעד התשי""ח-1958."
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,"מרכז חכ""ם (מרכז לחיזוק כוחות משפחתיים)","מסגרת שהייה טיפולית רב תחומית ואינטנסיבית בקהילה, המיועדת לילדים בגיל החביון (6-12) והוריהם. המסגרת מספקת שרות לרשות אליה היא שייכת."
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,"מרכז חכ""ם אזורי","זהה להגדרת המרכז החכ""ם, אך נותן מענה לרשות אחת או למס' רשויות הממוקמות באותו אזור גיאוגרפי. המרחק בין המסגרת לבין מגורי הילדים לא יעלה על 25 ק""מ."
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,פנימייה,"מסגרת חוץ-ביתית ('מעון' כהגדרתו בחוק), עבור ילדים ונוער, שנועדה לספק מסגרת תומכת וכוללנית, הנותנת מענה למכלול צרכיהם ובכלל זה השגחה, טיפול, חינוך ומקדמת את התפתחותם התקינה של מקבלי השירות."
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,פנימיית יום,"מסגרת שהייה טיפולית רב תחומית ואינטנסיבית בתוך פנימייה, המיועדת לילדים בגיל החביון (6-12) והוריהם. המסגרת מספקת מענה לרשות אחת או למספר רשויות הממוקמות באותו אזור גאוגרפי. המרחק בין המסגרת לבין מגורי הילדים לא יעלה על 25 ק""מ. אוכלוסיית היעד"
הקמה והפעלה - פנימיות יום ומרכזים חכמים - נוסח להתייחסויות הערות נמרוד 070422,8.14/,ילדים במצב סיכון בגיל 6,"12 (הלומדים בבי""ס), הנמצאים באחד מהמצבים האלה: נשקלה לגביהם בוועדת תכנון טיפול והערכה החלופה להשמה חוץ ביתית ובבתיהם ישנה פגיעה בשלומם ובהתפתחותם התקינה, מסיבות שמקורן בילד, בהורים או ביחסי הגומלין ביניהם (אולם לא נשקפת להם סכנה מיידית בחיק משפחתם). שהו בפנימייה מלאה או במשפחת אומנה, וכחלק מתוכנית הטיפול לקראת חזרתם הביתה ישולבו במסגרת. הורי הילדים המביעים הסכמתם להשתתף בתוכנית הטיפול של המסגרת. הסכמת ההורים היא אחד מהקריטריונים משמעותיים המבחינים בין ילדים שיופנו לפנימייה אינטרנית לעומת ילדים שיופנו לפנימיית היום או מרכז חכם."
6.4 החזר מסים לעיוורים,6.4/,זכיין,"גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול ביצוע החזרי המס עבור קניית מכשירי עזר ע""י אוכלוסיית היעד."
6.4 החזר מסים לעיוורים,6.4/,ועדת חריגים/וועדת סבסוד,"תדון בפניות בנושא קיצור תקופת הבלאי ושינוי גובה החזר המס. הוועדה ממונה על ידי מנכ""ל משרד הרווחה (ראה הוראה 6.7 בתע""ס)."
6.4 החזר מסים לעיוורים,6.4/,וועדה מקצועית עליונה,"ועדה הדנה בהשגה המוגשת על החלטת מטה השירות לעיוור הרלוונטי (ראה הוראה 6.21 בתע""ס)."
החזר מיסים 6.4,6.4/,זכיין,"גוף שזכה במכרז משרד הרווחה והשירותים החברתיים לניהול 		ביצוע החזרי המס עבור קניית מכשירי עזר ע""י אוכלוסיית היעד."
